home_team,home_team_short,matchup_id,home_points,home_fg_pct,home_ft_pct,home_fg3_pct,away_team,away_team_short,away_points,away_fg_pct,away_ft_pct,away_fg3_pct,winning_team
Boston Celtics,BOS,0022201216,120,0.472,0.786,0.463,Atlanta Hawks,ATL,114,0.454,0.789,0.282,BOS
Phoenix Suns,PHX,0022201229,114,0.424,0.727,0.378,LA Clippers,LAC,119,0.49,0.667,0.217,LAC
Denver Nuggets,DEN,0022201227,109,0.5,0.72,0.25,Sacramento Kings,SAC,95,0.435,0.667,0.256,DEN
Minnesota Timberwolves,MIN,0022201225,113,0.476,0.71,0.361,New Orleans Pelicans,NOP,108,0.444,0.862,0.143,MIN
Oklahoma City Thunder,OKC,0022201226,115,0.5,0.813,0.333,Memphis Grizzlies,MEM,100,0.435,0.722,0.189,OKC
Toronto Raptors,TOR,0022201221,121,0.505,0.875,0.333,Milwaukee Bucks,MIL,105,0.463,0.81,0.353,TOR
Brooklyn Nets,BKN,0022201217,105,0.422,0.821,0.375,Philadelphia 76ers,PHI,134,0.525,0.737,0.438,PHI
Sacramento Kings,SAC,0022201211,97,0.388,0.556,0.282,Golden State Warriors,GSW,119,0.526,0.875,0.444,GSW
Milwaukee Bucks,MIL,0022201208,114,0.457,0.818,0.429,Memphis Grizzlies,MEM,137,0.57,0.733,0.476,MEM
New Orleans Pelicans,NOP,0022201209,113,0.532,0.95,0.357,New York Knicks,NYK,105,0.432,0.75,0.326,NOP
Atlanta Hawks,ATL,0022201205,131,0.554,0.679,0.303,Philadelphia 76ers,PHI,136,0.5,0.793,0.5,PHI
Boston Celtics,BOS,0022201206,121,0.556,0.762,0.341,Toronto Raptors,TOR,102,0.43,0.765,0.29,BOS
Los Angeles Lakers,LAL,0022201212,121,0.489,0.765,0.5,Phoenix Suns,PHX,107,0.413,0.857,0.25,LAL
Phoenix Suns,PHX,0022201201,119,0.519,0.8,0.472,Denver Nuggets,DEN,115,0.53,0.826,0.348,PHX
Philadelphia 76ers,PHI,0022201198,101,0.513,0.867,0.278,Miami Heat,MIA,129,0.557,0.867,0.462,MIA
Milwaukee Bucks,MIL,0022201193,105,0.424,0.818,0.391,Chicago Bulls,CHI,92,0.434,0.818,0.333,MIL
New Orleans Pelicans,NOP,0022201194,138,0.5,0.744,0.538,Memphis Grizzlies,MEM,131,0.481,0.76,0.333,NOP
LA Clippers,LAC,0022201196,125,0.524,0.852,0.444,Los Angeles Lakers,LAL,118,0.506,0.667,0.414,LAC
Boston Celtics,BOS,0022201192,97,0.427,0.556,0.289,Toronto Raptors,TOR,93,0.411,0.765,0.182,BOS
New Orleans Pelicans,NOP,0022201185,103,0.44,0.815,0.35,Sacramento Kings,SAC,121,0.505,0.8,0.405,SAC
Golden State Warriors,GSW,0022201187,136,0.495,0.733,0.426,Oklahoma City Thunder,OKC,125,0.473,0.743,0.344,GSW
Philadelphia 76ers,PHI,0022201181,103,0.5,0.875,0.379,Boston Celtics,BOS,101,0.418,0.625,0.333,PHI
Brooklyn Nets,BKN,0022201180,102,0.433,0.786,0.371,Minnesota Timberwolves,MIN,107,0.482,0.773,0.333,MIN
